issue_key,software_qualities,impact_severities,severity,type,status,resolution,rule_key,rule_name,file_path,line,end_line,message,effort,clean_code_attribute,clean_code_category,quick_fix_available,tags,author,assignee,creation_date,update_date,rule_description,remediation_guidance,sonar_url
AZ_UqQhpGA9NVutV3atb,"[""MAINTAINABILITY""]","[""HIGH""]",CRITICAL,CODE_SMELL,OPEN,,typescript:S3776,Cognitive Complexity of functions should not be too high,app/home/player/visualizer/offline/LyricTextRenderer.ts,334,334,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,6min,FOCUSED,ADAPTABLE,,"[""brain-overload"",""editable-source""]",admin@brendanjohnroch.com,,2026-08-06T01:20:09+0000,2026-08-06T01:20:22+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ_UqQhpGA9NVutV3atb&open=AZ_UqQhpGA9NVutV3atb
AZ_UqQ2GGA9NVutV3atc,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S6653,Use Object.hasOwn static method instead of hasOwnProperty,app/internal/render/visualizer/VisualizerLivePreview.tsx,123,123,Use 'Object.hasOwn()' instead of 'Object.prototype.hasOwnProperty.call()'.,5min,CLEAR,INTENTIONAL,,"[""es2022""]",admin@brendanjohnroch.com,,2026-08-06T01:20:09+0000,2026-08-06T01:20:22+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ_UqQ2GGA9NVutV3atc&open=AZ_UqQ2GGA9NVutV3atc
AZ-dzcI6ZiQzo-vEikdd,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S6754,"The return value of ""useState"" should be destructured and named symmetrically",app/home/SubscribeButton.tsx,330,330,useState call is not destructured into value + setter pair,5min,IDENTIFIABLE,CONSISTENT,,"[""editable-source"",""react""]",admin@brendanjohnroch.com,,2026-07-26T09:41:19+0000,2026-07-26T09:41:19+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ-dzcI6ZiQzo-vEikdd&open=AZ-dzcI6ZiQzo-vEikdd
AZ-dkHrvsyU_O2b4WvQW,"[""MAINTAINABILITY"",""RELIABILITY""]","[""LOW"",""MEDIUM""]",MAJOR,CODE_SMELL,OPEN,,typescript:S6847,Non-interactive elements shouldn't have event handlers,app/home/ActivationGate.tsx,660,682,Non-interactive elements should not be assigned mouse or keyboard event listeners.,5min,CONVENTIONAL,CONSISTENT,,"[""accessibility"",""react""]",admin@brendanjohnroch.com,,2026-07-26T08:34:31+0000,2026-07-26T08:34:31+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ-dkHrvsyU_O2b4WvQW&open=AZ-dkHrvsyU_O2b4WvQW
AZ-dkHrvsyU_O2b4WvQX,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S6749,Redundant JSX fragments should be removed,app/home/ActivationGate.tsx,1008,1076,Passing a fragment to an HTML element is useless.,5min,DISTINCT,ADAPTABLE,,"[""editable-source"",""react""]",admin@brendanjohnroch.com,,2026-07-26T08:34:31+0000,2026-07-26T08:34:31+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ-dkHrvsyU_O2b4WvQX&open=AZ-dkHrvsyU_O2b4WvQX
AZ-dSrLABaRu4znBxjrR,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S7741,"""typeof"" should not be used to check for ""undefined""",app/api/exegesis/comment/route.ts,204,204,Compare with `undefined` directly instead of using `typeof`.,2min,CONVENTIONAL,CONSISTENT,,"[""editable-source"",""readability"",""style""]",admin@brendanjohnroch.com,,2026-07-26T07:17:51+0000,2026-07-26T07:17:51+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ-dSrLABaRu4znBxjrR&open=AZ-dSrLABaRu4znBxjrR
AZ-dSrBTBaRu4znBxjrQ,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S7755,"Complex index access patterns should be replaced with "".at()"" method",app/admin/share-tokens/entitlements/model.ts,73,73,Prefer `.at(…)` over `[….length - index]`.,5min,CONVENTIONAL,CONSISTENT,,"[""editable-source"",""es2022"",""performance"",""readability"",""type-dependent""]",admin@brendanjohnroch.com,,2026-07-26T07:17:38+0000,2026-07-26T07:17:51+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ-dSrBTBaRu4znBxjrQ&open=AZ-dSrBTBaRu4znBxjrQ
AZ-dSrNSBaRu4znBxjrU,"[""MAINTAINABILITY""]","[""MEDIUM""]",MINOR,CODE_SMELL,OPEN,,typescript:S7772,"Node.js built-in modules should be imported using the ""node:"" protocol",app/api/mux/_playbackIssuance.ts,4,4,Prefer `node:crypto` over `crypto`.,5min,CONVENTIONAL,CONSISTENT,,"[""convention"",""editable-source"",""import"",""nodejs""]",admin@brendanjohnroch.com,,2026-07-26T07:17:38+0000,2026-07-26T07:17:51+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ-dSrNSBaRu4znBxjrU&open=AZ-dSrNSBaRu4znBxjrU
AZ-dSrNSBaRu4znBxjrV,"[""MAINTAINABILITY"",""RELIABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S7781,"Strings should use ""replaceAll()"" instead of ""replace()"" with global regex",app/api/mux/_playbackIssuance.ts,71,71,Prefer `String#replaceAll()` over `String#replace()`.,5min,CLEAR,INTENTIONAL,,"[""editable-source"",""es2021"",""readability""]",admin@brendanjohnroch.com,,2026-07-26T07:17:38+0000,2026-07-26T07:17:51+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ-dSrNSBaRu4znBxjrV&open=AZ-dSrNSBaRu4znBxjrV
AZ-dSrNSBaRu4znBxjrW,"[""MAINTAINABILITY"",""RELIABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S7781,"Strings should use ""replaceAll()"" instead of ""replace()"" with global regex",app/api/mux/_playbackIssuance.ts,77,77,Prefer `String#replaceAll()` over `String#replace()`.,5min,CLEAR,INTENTIONAL,,"[""editable-source"",""es2021"",""readability""]",admin@brendanjohnroch.com,,2026-07-26T07:17:38+0000,2026-07-26T07:17:51+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ-dSrNSBaRu4znBxjrW&open=AZ-dSrNSBaRu4znBxjrW
